"NUMBR,N,6,0","DIST,N,4,0","DATA,D","ASTRDAY,N,3,0","HR,N,2,0","MIN,N,2,0","V1,N,7,3","V2,N,7,3","V3,N,7,3","TAU1,N,8,4","TAU2,N,8,4"
1,127,01/02/78,1,9,28,52.749,999.999,999.999,-1.6660,-0.6077
2,403,01/02/78,1,9,32,38.697,43.410,34.677,-3.7283,-1.2884
3,176,01/02/78,1,9,36,37.926,35.634,38.270,21.5285,-0.1995
4,222,01/02/78,1,9,38,999.999,40.449,48.653,-0.3546,-0.4945
5,127,01/02/78,1,9,39,21.303,26.152,21.978,-0.1618,-0.4031
6,212,01/02/78,1,9,41,34.457,34.823,33.710,-0.4648,-0.0751
7,191,01/02/78,1,9,43,41.610,37.825,41.246,-0.6660,-0.7679
8,142,01/02/78,1,10,15,60.086,47.979,52.294,-32.4136,-0.0415
9,163,01/02/78,1,10,15,43.850,999.999,49.511,-0.6399,-0.3535
10,186,01/02/78,1,10,19,36.651,999.999,36.379,-0.6944,0.0122
11,179,01/02/78,1,10,19,30.338,30.122,30.484,-0.0721,0.3130
12,177,01/02/78,1,10,20,42.949,40.823,42.498,-0.0228,0.0206
13,126,01/02/78,1,10,22,45.238,47.268,41.904,0.0758,-0.0047
14,209,01/02/78,1,10,25,49.153,999.999,999.999,4.9064,-0.1845
15,143,01/02/78,1,10,26,48.256,53.199,999.999,-8.8018,-27.5787
16,164,01/02/78,1,10,28,999.999,49.037,49.604,-12.9214,-13.5505
17,157,01/02/78,1,10,30,48.502,999.999,999.999,-23.4482,-4.1209
18,197,01/02/78,1,10,31,999.999,35.247,999.999,-1.2425,-1.0101
19,169,01/02/78,1,10,35,33.299,999.999,34.586,-0.2352,-0.3186
20,296,01/02/78,1,10,37,33.338,999.999,33.716,-0.5168,0.0543
21,397,01/02/78,1,10,37,33.719,34.143,34.130,-0.2895,-0.4633
22,179,01/02/78,1,10,39,37.744,999.999,39.357,-0.3868,-0.4495
23,182,01/02/78,1,10,39,62.962,68.024,54.496,-0.2269,0.1718
24,195,01/02/78,1,10,42,33.277,33.993,32.943,-0.4915,-0.3067
25,186,01/02/78,1,10,43,26.143,25.606,26.896,0.2887,-0.4572
26,230,01/02/78,1,10,46,37.702,41.635,36.563,-0.4099,0.6485
27,184,01/02/78,1,10,50,27.761,999.999,29.961,-0.3651,-0.2053
28,201,01/02/78,1,10,53,999.999,29.699,27.566,-0.6435,-0.3146
29,137,01/02/78,1,10,54,999.999,32.135,999.999,12.3415,-0.0705
30,140,01/02/78,1,10,54,999.999,40.290,40.703,-16.7734,-18.0243
31,196,01/02/78,1,10,58,30.637,31.177,30.495,0.1085,-0.0045
32,174,01/02/78,1,10,59,999.999,999.999,40.267,-0.0283,7.4870
33,176,01/02/78,1,10,3,41.240,48.803,44.691,-0.0240,-0.0904
34,207,01/02/78,1,11,3,31.763,32.770,32.517,-0.9158,-0.4767
35,158,01/02/78,1,11,3,999.999,48.826,55.340,-0.2048,-0.1938
36,129,01/02/78,1,11,6,999.999,45.800,999.999,0.6193,-0.0381
37,226,01/02/78,1,11,7,25.726,25.710,25.311,-0.2055,0.0081
38,137,01/02/78,1,11,7,999.999,999.999,39.618,-0.0735,-0.1138
39,269,01/02/78,1,11,8,35.588,35.573,35.742,-0.2376,-0.0751
40,206,01/02/78,1,11,13,999.999,999.999,22.207,-0.4767,-0.5997
41,286,01/02/78,1,11,14,999.999,30.515,30.625,-0.1403,0.2034
42,337,01/02/78,1,11,15,999.999,999.999,26.347,2.0167,-1.1846
43,156,01/02/78,1,11,23,25.966,999.999,29.037,-37.5377,-39.9161
44,284,01/02/78,1,11,24,36.601,999.999,29.905,-11.2186,0.1904
45,102,01/02/78,1,11,26,28.112,999.999,28.552,52.7796,-0.6383
46,206,01/02/78,1,11,28,33.996,35.628,35.053,-0.1307,-0.4133
47,153,01/02/78,1,11,29,999.999,41.484,36.680,-0.5267,-0.2702
48,167,01/02/78,1,11,29,999.999,29.289,35.844,-9.6072,-0.5915
49,166,01/02/78,1,11,30,999.999,32.325,29.341,-1.1000,-1.2122
50,138,01/02/78,1,11,32,49.381,999.999,47.265,-0.3331,0.1738
51,165,01/02/78,1,11,32,34.339,999.999,39.644,0.0702,-0.4953
52,190,01/02/78,1,11,34,31.977,32.387,33.793,1.0792,-0.4878
53,173,01/02/78,1,11,39,999.999,71.345,999.999,-0.1347,-0.0678
54,175,01/02/78,1,11,42,45.441,40.947,42.257,0.2792,-0.0383
55,173,01/02/78,1,11,43,31.802,32.439,33.929,-0.3502,-0.3659
56,153,01/02/78,1,11,44,29.834,999.999,30.418,-1.1953,-0.1415
57,192,01/02/78,1,11,45,37.048,36.651,37.053,-0.1005,-0.0186
58,131,01/02/78,1,11,48,999.999,26.481,999.999,-11.6870,-49.5733
59,155,01/02/78,1,11,48,999.999,58.345,26.701,-0.6364,-0.1190
60,150,01/02/78,1,11,51,999.999,47.880,999.999,-0.1263,0.0560
61,154,01/02/78,1,11,53,50.232,999.999,51.523,0.2183,-0.0908
62,159,01/02/78,1,11,55,31.860,37.694,36.875,-37.5245,-37.7224
63,171,01/02/78,1,11,55,999.999,27.896,999.999,-1.3108,-0.3332
64,185,01/02/78,1,11,56,999.999,35.314,999.999,0.9705,-0.2789
65,177,01/02/78,1,12,1,26.939,28.236,26.478,-0.4134,0.0879
66,169,01/02/78,1,12,1,32.624,26.744,31.783,-0.7372,-0.3621
67,218,01/02/78,1,12,4,32.074,33.890,31.667,-5.7337,0.6004
68,188,01/02/78,1,12,4,45.034,999.999,47.093,-0.1973,0.1059
69,169,01/02/78,1,12,5,30.362,999.999,32.485,-9.1721,0.2747
70,286,01/02/78,1,12,16,26.697,25.932,27.111,-0.8656,-0.7681
71,161,01/02/78,1,12,18,999.999,999.999,41.694,-0.4330,0.2570
72,192,01/02/78,1,12,23,37.190,40.764,40.381,-2.0701,-1.1311
73,200,01/02/78,1,12,27,24.962,21.142,24.865,-0.7043,-0.3471
74,140,01/02/78,1,12,34,37.796,38.819,37.706,-0.0955,-0.0907
75,136,01/02/78,1,12,36,37.394,37.179,35.548,-0.1630,-0.0449
76,177,01/02/78,1,12,37,26.937,999.999,26.912,-15.7455,-0.1800
77,139,01/02/78,1,12,39,40.145,999.999,40.557,-1.0944,-0.4911
78,178,01/02/78,1,12,40,999.999,999.999,30.202,-0.7374,-0.7011
79,162,01/02/78,1,12,41,35.013,999.999,36.471,0.3562,-0.3270
80,225,01/02/78,1,12,45,999.999,37.621,35.282,-0.2977,-0.2033
81,183,01/02/78,1,12,46,45.809,45.784,999.999,-5.0049,14.9102
82,123,01/02/78,1,12,47,999.999,28.002,999.999,-8.4334,-64.4988
83,174,01/02/78,1,12,52,38.415,43.692,39.541,0.0340,-0.3040
84,144,01/02/78,1,12,54,999.999,999.999,20.686,-0.5645,-0.1232
85,159,01/02/78,1,12,58,33.906,35.573,36.964,-0.2695,-0.1962
86,227,01/02/78,1,12,59,999.999,60.797,999.999,-52.4269,0.0845
87,217,01/02/78,1,12,59,34.612,35.361,34.455,-0.8729,-0.3052
88,156,01/02/78,1,13,0,34.611,999.999,28.300,-37.5140,-28.9545
89,155,01/02/78,1,13,0,27.170,999.999,31.395,61.5203,-5.4905
90,130,01/02/78,1,13,12,20.450,19.541,20.909,-0.7955,-1.1230
91,167,01/02/78,1,13,14,35.466,32.088,34.768,0.5100,-0.0085
92,194,01/02/78,1,13,16,32.576,38.448,34.667,-1.9001,-0.2730
93,220,01/02/78,1,13,20,25.573,999.999,26.142,-1.2493,-1.4850
94,166,01/02/78,1,13,22,22.781,999.999,999.999,-46.0195,-24.3623
95,163,01/02/78,1,13,25,37.505,36.912,38.173,-0.2867,0.0350
96,144,01/02/78,1,13,28,35.866,41.687,39.442,2.3693,-0.6575
97,140,01/02/78,1,13,30,999.999,47.833,999.999,14.2799,-1.1044
98,159,01/02/78,1,13,34,999.999,25.648,999.999,0.1278,-0.1548
99,177,01/02/78,1,13,38,26.109,26.479,26.077,-0.2335,-0.3318
100,169,01/02/78,1,13,38,28.121,27.888,27.972,0.0969,-0.1829
101,159,01/02/78,1,13,38,22.341,24.320,22.265,-0.8647,-0.1253
102,188,01/02/78,1,13,38,999.999,30.557,29.726,-1.4799,-0.2992
103,144,01/02/78,1,13,38,29.541,32.047,29.490,-0.0426,0.0532
104,153,01/02/78,1,13,39,28.433,28.695,28.743,-0.6940,-0.4853
105,135,01/02/78,1,13,41,35.417,999.999,35.530,0.1571,-0.2411
106,128,01/02/78,1,13,53,25.776,25.980,27.829,-36.2282,-37.5328
107,141,01/02/78,1,13,55,39.892,999.999,39.000,-0.7816,0.0983
108,147,01/02/78,1,13,55,35.935,36.015,37.011,0.2596,-0.1990
109,133,01/02/78,1,13,57,999.999,38.370,34.058,-0.6420,-0.3638
110,240,01/02/78,1,14,0,999.999,29.800,999.999,-0.1102,-0.3796
111,126,01/02/78,1,14,3,999.999,28.306,999.999,-0.4886,-0.2469
112,160,01/02/78,1,14,5,999.999,50.929,42.523,-0.1836,-0.7466
113,108,01/02/78,1,14,8,29.398,33.363,33.068,-0.9189,-1.0621
114,121,01/02/78,1,14,14,999.999,35.815,999.999,-0.5909,0.5343
115,279,01/02/78,1,14,15,28.014,26.549,28.114,-1.2533,-0.1963
116,134,01/02/78,1,14,19,27.124,27.487,27.365,-0.2200,-0.1960
117,145,01/02/78,1,14,20,31.890,35.374,30.845,-1.5106,-0.1207
118,129,01/02/78,1,14,31,38.274,38.043,36.152,-0.5266,0.0433
119,140,01/02/78,1,14,32,40.667,38.865,39.780,0.0588,-0.0392
120,133,01/02/78,1,16,8,999.999,24.257,25.285,0.0290,-0.3192
121,164,01/02/78,1,16,13,24.215,25.421,23.140,-0.2497,-0.4087
122,94,01/02/78,1,16,30,999.999,20.401,21.240,-0.4481,-0.4619
123,206,01/02/78,1,16,42,28.565,28.995,29.165,-0.0895,-0.1876
124,144,01/02/78,1,16,45,24.461,23.081,25.574,-0.4310,-0.3766
125,188,01/02/78,1,16,46,26.875,26.850,27.732,-0.6447,0.4077
126,151,01/02/78,1,17,27,28.790,999.999,999.999,2.9084,-13.5628
127,178,01/02/78,1,17,29,28.103,29.192,28.420,-0.7413,-0.2575
128,159,01/02/78,1,17,36,25.915,27.381,25.331,0.2281,-0.1162
129,275,01/02/78,1,17,41,30.387,999.999,34.010,12.2995,-0.2664
130,160,01/02/78,1,17,54,24.565,999.999,25.289,-1.2875,-0.0606
131,182,01/02/78,1,18,26,30.020,30.097,30.650,0.2833,-0.1787
132,203,01/02/78,1,19,24,24.292,999.999,19.050,-0.7114,-0.3823
133,162,01/02/78,1,20,4,999.999,25.561,25.915,-0.1006,-0.1659
134,116,01/03/78,2,0,41,30.574,37.096,32.279,0.0069,-0.0473
135,146,01/03/78,2,1,13,17.665,21.159,17.417,-1.5083,-0.2967
136,181,01/03/78,2,1,42,16.729,16.801,17.200,10.2857,-0.3404
137,217,01/03/78,2,2,7,999.999,999.999,19.667,-0.1399,-1.5569
138,357,01/03/78,2,2,13,999.999,999.999,62.669,-19.7067,9.7820
139,292,01/03/78,2,2,31,22.325,999.999,999.999,-0.2905,-0.1868
140,372,01/03/78,2,2,41,999.999,32.421,999.999,0.3957,-0.1147
141,368,01/03/78,2,2,48,999.999,63.243,999.999,-40.0217,4.7787
142,340,01/03/78,2,2,58,999.999,41.840,999.999,-1.9993,-8.3306
143,322,01/03/78,2,3,1,33.576,32.413,34.786,-0.9715,-1.1878
144,161,01/03/78,2,3,13,21.495,21.712,23.223,-1.3794,-0.2182
145,396,01/03/78,2,3,18,25.816,999.999,999.999,-0.5112,1.2955
146,178,01/03/78,2,3,20,22.123,22.042,21.581,-0.1181,-0.1845
147,296,01/03/78,2,3,24,999.999,999.999,24.330,-0.0043,-0.4173
148,164,01/03/78,2,3,29,38.349,32.032,33.319,-0.3803,-0.2495
149,164,01/03/78,2,3,32,25.750,26.901,25.283,-0.1839,0.3222
150,130,01/03/78,2,3,40,28.606,29.205,27.669,-0.0606,-0.5436
151,160,01/03/78,2,3,41,999.999,27.386,24.767,-0.3128,0.2186
152,269,01/03/78,2,3,43,999.999,30.113,29.642,-0.2246,0.2894
153,186,01/03/78,2,3,45,37.302,999.999,999.999,-0.2044,-0.2489
154,274,01/03/78,2,3,46,24.354,24.014,24.730,0.0449,-0.6965
155,244,01/03/78,2,3,48,25.931,24.518,28.879,-0.8005,-0.0013
156,229,01/03/78,2,3,51,26.754,28.889,27.998,-0.7069,-0.3280
157,200,01/03/78,2,3,54,30.900,32.552,31.230,-0.6581,0.2220
158,141,01/03/78,2,3,54,21.766,21.526,999.999,-35.6146,-35.9870
159,242,01/03/78,2,4,1,26.054,999.999,30.165,-2.7739,-0.4934
160,243,01/03/78,2,4,4,999.999,34.901,999.999,0.2034,-0.0496
161,143,01/03/78,2,4,8,42.278,999.999,43.157,-0.5557,-0.1634
162,189,01/03/78,2,4,10,999.999,29.121,999.999,-8.6766,0.0147
163,142,01/03/78,2,4,14,999.999,999.999,37.708,-17.7024,0.8790
164,206,01/03/78,2,4,15,35.012,999.999,999.999,-0.9991,-0.2336
165,140,01/03/78,2,4,17,31.835,34.648,30.527,-7.3892,0.2695
166,428,01/03/78,2,4,21,49.943,51.091,50.507,-0.8594,0.0081
167,182,01/03/78,2,4,25,38.929,27.884,28.118,-0.1299,-0.1492
168,194,01/03/78,2,4,25,999.999,25.490,26.720,-0.0190,-0.6426
169,209,01/03/78,2,4,26,31.850,33.247,33.475,-0.6779,-0.7082
170,336,01/03/78,2,4,28,30.854,999.999,29.378,-0.7576,-0.3753
171,203,01/03/78,2,4,29,44.394,42.526,44.147,-16.7696,0.1236
172,240,01/03/78,2,4,32,34.221,999.999,36.425,-0.8333,-0.3824
173,222,01/03/78,2,4,34,33.543,31.503,33.187,-0.0092,0.0824
174,398,01/03/78,2,4,38,30.245,30.947,30.987,-1.5263,-1.2292
175,185,01/03/78,2,4,44,33.063,999.999,31.879,-0.1375,0.0120
176,190,01/03/78,2,4,47,35.591,33.534,32.823,-0.1041,0.0667
177,145,01/03/78,2,4,56,29.306,40.481,29.250,24.4719,-0.0406
178,197,01/03/78,2,5,8,48.109,999.999,999.999,-0.7882,-0.6064
179,393,01/03/78,2,5,9,51.994,53.198,43.138,-0.6628,-0.0109
180,234,01/03/78,2,5,9,17.154,999.999,16.981,-1.3292,-1.2160
181,153,01/03/78,2,5,13,24.995,999.999,24.694,-0.0108,-0.1759
182,133,01/03/78,2,5,18,31.446,999.999,35.207,-1.1885,-1.0509
183,164,01/03/78,2,5,22,999.999,39.807,40.908,-7.0182,-7.3703
184,228,01/03/78,2,5,27,31.722,33.331,32.133,-0.3337,-0.2385
185,223,01/03/78,2,5,33,999.999,33.155,31.890,-0.9602,-0.7868
186,383,01/03/78,2,5,33,999.999,52.088,999.999,-0.1838,-0.3683
187,185,01/03/78,2,5,34,29.703,24.744,25.103,-0.8108,0.3433
188,177,01/03/78,2,5,37,44.060,43.326,39.169,-0.0200,-0.0200
189,164,01/03/78,2,5,40,999.999,39.955,999.999,-27.2105,-37.0843
190,422,01/03/78,2,5,41,999.999,43.729,41.430,0.7591,-1.3387
191,222,01/03/78,2,5,43,999.999,39.320,36.144,-0.2537,0.1245
192,130,01/03/78,2,5,45,31.301,999.999,999.999,-8.6173,-8.9239
193,219,01/03/78,2,5,48,49.998,999.999,49.958,-0.4415,-0.0415
194,489,01/03/78,2,5,49,999.999,59.140,999.999,1.8807,-0.5394
195,188,01/03/78,2,5,50,50.703,47.041,47.935,-0.0184,0.0290
196,177,01/03/78,2,5,55,20.741,21.245,21.163,-0.5107,-0.7541
197,149,01/03/78,2,5,55,32.394,27.390,28.113,-0.1278,0.0750
198,241,01/03/78,2,6,1,52.329,53.254,49.711,-0.6102,-0.1115
199,179,01/03/78,2,6,1,27.961,33.076,29.528,-0.1004,-0.0254
200,382,01/03/78,2,6,9,23.029,24.701,25.043,-0.3789,-0.6140
201,173,01/03/78,2,6,11,45.619,999.999,50.980,-0.1688,0.0687
202,271,01/03/78,2,6,16,30.544,31.575,30.693,-0.0647,0.0976
203,176,01/03/78,2,6,16,43.573,45.756,999.999,-0.7094,-0.7094
204,230,01/03/78,2,6,19,34.869,33.054,33.649,-23.2966,-23.0712
205,186,01/03/78,2,6,21,30.517,999.999,30.536,0.3122,-0.0397
206,233,01/03/78,2,6,21,31.879,999.999,33.512,0.3910,-0.1406
207,139,01/03/78,2,6,30,45.631,34.973,40.465,-23.5952,-12.3023
208,216,01/03/78,2,6,42,31.262,31.504,32.213,-0.3527,-0.7414
209,246,01/03/78,2,6,46,999.999,999.999,57.809,0.0022,-0.0908
210,147,01/03/78,2,6,56,999.999,999.999,41.326,-9.4336,-0.7033
211,285,01/03/78,2,6,58,999.999,999.999,55.343,-0.9126,-0.2585
212,396,01/03/78,2,6,59,43.125,41.578,42.779,-0.6362,0.0814
213,483,01/03/78,2,7,1,71.988,999.999,999.999,-0.1366,-0.1434
214,209,01/03/78,2,7,1,31.773,29.587,999.999,14.5321,-0.3333
215,163,01/03/78,2,7,10,999.999,38.122,999.999,0.1318,-0.0930
216,178,01/03/78,2,7,11,999.999,999.999,56.266,-1.6227,-0.6623
217,246,01/03/78,2,7,18,34.980,36.296,35.036,-0.1153,-0.1057
218,144,01/03/78,2,7,18,35.645,36.734,37.312,-42.0961,-42.0930
219,219,01/03/78,2,7,21,26.668,25.519,24.985,-0.3304,0.0807
220,180,01/03/78,2,7,23,999.999,999.999,35.694,-10.3999,-10.6618
221,129,01/03/78,2,7,24,37.394,999.999,999.999,-0.1387,-0.5292
222,159,01/03/78,2,7,25,33.054,999.999,999.999,-0.4069,-0.4010
223,210,01/03/78,2,7,26,999.999,999.999,56.142,-4.6140,-0.7475
224,139,01/03/78,2,7,28,999.999,47.469,53.096,-7.6341,-1.1693
225,205,01/03/78,2,7,29,32.204,29.679,30.542,0.0286,-0.0827
226,498,01/03/78,2,7,34,55.911,999.999,59.973,-8.8682,0.0753
227,456,01/03/78,2,7,38,50.388,51.000,53.350,-0.8741,-0.9026
228,153,01/03/78,2,7,40,13.938,999.999,15.587,0.7335,-1.5322
229,147,01/03/78,2,7,45,53.188,999.999,999.999,-15.3345,-3.1074
230,375,01/03/78,2,7,51,45.379,54.004,44.151,-0.2090,0.2090
231,460,01/03/78,2,7,53,999.999,30.545,31.187,-0.9660,-0.3734
232,188,01/03/78,2,7,53,60.168,999.999,999.999,-0.0304,-0.1514
233,176,01/03/78,2,7,55,29.761,999.999,999.999,-23.1506,-0.0130
234,217,01/03/78,2,7,56,999.999,50.465,57.010,-1.1783,-1.0315
235,520,01/03/78,2,7,56,53.447,59.276,50.348,-0.4345,-0.5448
236,262,01/03/78,2,7,56,53.573,49.485,55.828,-0.3304,-0.8571
237,150,01/03/78,2,8,2,49.440,999.999,999.999,-17.2361,-11.1286
238,149,01/03/78,2,8,3,999.999,999.999,53.660,-0.3432,-0.0947
239,176,01/03/78,2,8,3,54.173,999.999,999.999,-13.2497,-13.2415
240,123,01/03/78,2,8,3,27.307,28.130,27.158,-0.0265,0.0476
241,277,01/03/78,2,8,5,999.999,999.999,54.534,-2.6896,0.4285
242,423,01/03/78,2,8,10,42.278,36.919,44.120,-0.1200,-0.6398
243,144,01/03/78,2,8,14,26.421,28.598,26.407,-0.4377,-0.0305
244,174,01/03/78,2,8,14,999.999,53.110,45.245,-0.1965,-0.4083
245,696,01/03/78,2,8,15,27.734,29.113,34.065,-1.1494,-1.3901
246,181,01/03/78,2,8,15,48.369,999.999,51.509,-4.9586,-5.2655
247,277,01/03/78,2,8,16,53.600,54.184,56.231,-0.8941,-0.5821
248,188,01/03/78,2,8,19,999.999,999.999,47.052,-0.7339,-0.6972
249,264,01/03/78,2,8,21,55.813,53.294,51.494,-1.8284,-1.5949
250,411,01/03/78,2,8,21,45.645,48.729,47.049,-0.6021,-0.3680
251,189,01/03/78,2,8,28,999.999,42.207,43.380,-0.5702,-0.2819
252,584,01/03/78,2,8,29,999.999,999.999,45.860,0.2947,-2.5759
253,282,01/03/78,2,8,32,41.009,999.999,46.231,-3.7714,-0.5670
254,211,01/03/78,2,8,32,33.204,30.323,33.610,-0.1891,-0.1096
255,155,01/03/78,2,8,32,57.297,58.091,50.281,0.4833,-0.0065
256,162,01/03/78,2,8,34,999.999,55.953,999.999,-0.1099,-0.0335
257,170,01/03/78,2,8,36,999.999,999.999,57.283,-0.1208,-0.0795
258,168,01/03/78,2,8,37,999.999,35.483,999.999,-0.4700,-0.1209
259,195,01/03/78,2,8,39,24.317,22.292,25.022,-0.2520,-0.0994
260,188,01/03/78,2,8,39,21.562,24.886,22.822,-1.0950,-0.8742
261,287,01/03/78,2,8,39,999.999,38.269,43.395,-0.3331,0.1848
262,193,01/03/78,2,8,41,47.657,44.282,55.108,0.1409,-0.6760
263,193,01/03/78,2,8,44,999.999,47.651,999.999,-0.2566,0.0523
264,395,01/03/78,2,8,45,45.985,50.374,44.925,0.7452,0.5364
265,190,01/03/78,2,8,46,999.999,40.744,999.999,-1.1926,-0.2555
266,290,01/03/78,2,8,48,999.999,999.999,49.708,-1.6949,-1.9310
267,198,01/03/78,2,8,52,46.216,48.273,47.136,0.0440,-0.3451
268,145,01/03/78,2,8,52,999.999,41.493,999.999,-5.7490,0.9788
269,289,01/03/78,2,8,53,37.895,38.171,37.940,-0.0839,-0.0168
270,135,01/03/78,2,8,53,999.999,999.999,51.001,-0.0728,-0.0911
271,179,01/03/78,2,8,54,999.999,999.999,51.308,-8.2289,0.1700
272,219,01/03/78,2,8,57,999.999,999.999,47.659,-0.2785,-0.2411
273,186,01/03/78,2,8,58,999.999,52.536,50.142,-2.2304,0.0463
274,243,01/03/78,2,8,59,41.443,40.982,39.101,-0.0901,0.3865
275,190,01/03/78,2,9,0,999.999,55.039,51.409,-0.0572,-0.0325
276,135,01/03/78,2,9,2,28.117,28.290,28.694,0.0856,-0.3530
277,191,01/03/78,2,9,3,999.999,39.768,999.999,-0.3032,-0.0494
278,160,01/03/78,2,9,8,999.999,52.344,48.429,-14.6825,-13.7670
279,130,01/03/78,2,9,9,999.999,999.999,42.682,-0.1607,-0.5253
280,194,01/03/78,2,9,9,999.999,999.999,53.397,-0.3549,-0.4165
281,205,01/03/78,2,9,10,999.999,48.258,48.808,-1.0604,-0.9798
282,133,01/03/78,2,9,14,34.473,30.864,35.278,-0.1021,-0.3393
283,149,01/03/78,2,9,15,999.999,999.999,38.511,0.1005,-0.3499
284,176,01/03/78,2,9,15,36.196,36.569,37.506,-0.4539,-0.7735
285,204,01/03/78,2,9,19,51.452,53.250,999.999,-0.3587,-0.3296
286,133,01/03/78,2,9,26,999.999,46.599,46.467,0.1757,-0.2033
287,158,01/03/78,2,9,28,999.999,999.999,31.625,-0.0035,-0.6814
288,210,01/03/78,2,9,32,999.999,63.552,999.999,-0.0118,0.1069
289,210,01/03/78,2,9,33,41.552,45.038,43.225,-0.1304,-0.1914
290,151,01/03/78,2,9,38,50.209,999.999,47.629,-13.6063,-12.3499
291,195,01/03/78,2,9,40,999.999,50.223,999.999,-0.5050,-0.0880
292,153,01/03/78,2,9,42,46.506,42.005,999.999,-24.8628,-25.2011
293,139,01/03/78,2,9,50,999.999,45.171,999.999,0.2433,-0.0222
294,143,01/03/78,2,10,0,48.146,999.999,52.553,-21.2542,-21.5221
295,151,01/03/78,2,10,1,44.751,47.124,46.196,-0.0975,0.0292
296,244,01/03/78,2,10,2,29.101,999.999,28.474,-0.2101,-0.2750
297,341,01/03/78,2,10,3,62.682,999.999,75.606,-0.2960,-0.2960
298,188,01/03/78,2,10,5,999.999,999.999,49.216,-1.4408,-0.9413
299,194,01/03/78,2,10,7,28.279,31.806,28.260,-0.9388,0.1000
300,144,01/03/78,2,10,10,999.999,999.999,21.393,-0.2613,-7.5615
301,155,01/03/78,2,10,14,999.999,48.270,999.999,0.0664,-0.0270
302,141,01/03/78,2,10,14,47.768,52.212,999.999,-0.3615,-0.0833
303,331,01/03/78,2,10,15,39.485,39.461,39.856,-0.5268,-0.8160
304,218,01/03/78,2,10,15,32.762,32.646,32.536,-0.1670,0.0717
305,188,01/03/78,2,10,19,27.984,27.910,26.552,-0.6999,-0.5298
306,241,01/03/78,2,10,25,42.481,36.366,37.780,-0.7685,-0.7951
307,190,01/03/78,2,10,28,36.421,36.564,37.616,-0.2084,-0.6164
308,133,01/03/78,2,10,28,999.999,53.891,50.694,-20.3111,-19.9067
309,270,01/03/78,2,10,28,999.999,32.744,33.711,-0.5088,-0.1844
310,243,01/03/78,2,10,30,22.582,23.106,22.415,-0.3114,0.3187
311,246,01/03/78,2,10,34,999.999,999.999,37.431,0.9033,-0.2498
312,186,01/03/78,2,10,36,34.555,36.075,35.851,-0.6280,0.0923
313,378,01/03/78,2,10,36,31.491,999.999,999.999,-1.0038,-0.5830
314,279,01/03/78,2,10,37,28.531,32.661,33.953,-2.4670,-2.3635
315,196,01/03/78,2,10,38,33.266,999.999,33.702,0.9343,-0.3909
316,183,01/03/78,2,10,38,39.141,46.441,999.999,-0.4755,-0.1510
317,184,01/03/78,2,10,40,29.081,28.522,28.755,-6.1108,-5.9536
318,194,01/03/78,2,10,44,46.681,37.850,33.644,-23.2099,-22.5887
319,217,01/03/78,2,10,44,34.116,999.999,999.999,-10.8269,-10.4937
320,295,01/03/78,2,10,49,39.821,38.695,40.211,-0.5257,0.1761
321,269,01/03/78,2,10,51,24.664,24.389,24.565,-0.1436,0.1650
322,161,01/03/78,2,10,51,32.145,32.273,33.275,-0.5686,-0.8808
323,285,01/03/78,2,10,52,40.039,37.636,37.463,0.0087,-0.0785
324,186,01/03/78,2,10,53,44.819,999.999,40.756,-0.8390,0.0186
325,179,01/03/78,2,10,57,42.635,45.246,42.738,0.0737,-0.0001
326,179,01/03/78,2,11,4,53.926,58.740,50.860,-0.4971,-0.4971
327,183,01/03/78,2,11,14,999.999,32.164,32.088,-0.4862,-0.0330
328,183,01/03/78,2,11,14,32.047,32.167,32.088,-0.4862,-0.0330
329,144,01/03/78,2,11,15,999.999,999.999,42.964,-0.3331,0.0833
330,207,01/03/78,2,11,18,28.786,32.278,999.999,-0.0831,-0.1435
331,159,01/03/78,2,11,19,30.944,999.999,26.485,0.2500,-0.0842
332,178,01/03/78,2,11,19,35.100,35.518,34.932,-0.1510,0.0443
333,175,01/03/78,2,11,20,48.565,49.053,999.999,0.4531,-1.3595
334,172,01/03/78,2,11,21,38.528,34.337,40.261,-0.2965,0.0453
335,292,01/03/78,2,11,31,43.382,43.465,999.999,-0.1572,0.1263
336,125,01/03/78,2,11,34,36.021,41.190,34.281,0.4786,-0.0246
337,183,01/03/78,2,11,40,70.678,999.999,999.999,-0.5969,-0.5969
338,155,01/03/78,2,11,40,999.999,45.924,49.247,0.1279,-0.2522
339,243,01/03/78,2,11,42,39.347,41.897,999.999,-1.8548,-1.0073
340,136,01/03/78,2,11,43,32.546,34.642,37.253,0.4098,-0.1050
341,221,01/03/78,2,11,50,999.999,40.170,38.870,-0.1403,-0.0759
342,144,01/03/78,2,11,51,999.999,35.524,36.343,-10.8616,0.1802
343,110,01/03/78,2,11,52,42.416,35.612,999.999,0.3121,-9.7641
344,294,01/03/78,2,11,55,65.914,999.999,999.999,-0.0568,-0.1967
345,177,01/03/78,2,11,55,34.078,999.999,33.185,1.2957,-0.0276
346,170,01/03/78,2,11,58,999.999,999.999,24.987,-2.6755,-42.7200
347,120,01/03/78,2,12,2,26.490,26.587,26.300,-57.7455,-57.9793
348,165,01/03/78,2,12,7,29.800,32.035,31.987,-0.3295,-0.6481
349,354,01/03/78,2,12,7,63.570,999.999,999.999,-0.3183,4.7434
350,113,01/03/78,2,12,8,49.880,47.331,999.999,-0.0933,-0.0422
